City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,san carlos de bariloche,-41.1456,-71.3082,12.86,47,40,14.92,AR,1729790301
328,port saint john's,-31.6229,29.5448,20.53,86,6,1.75,ZA,1729790301
329,buurhakaba,2.8026,44.0781,26.33,65,79,8.15,SO,1729790301
330,huarmey,-10.0681,-78.1522,21.23,75,46,5.34,PE,1729790301
331,launceston,-41.45,147.1667,5.8,65,20,3.09,AU,1729790084
332,kamogawa,35.1,140.1,21.1,91,100,3.02,JP,1729790301
333,ambovombe,-25.1667,46.0833,25.48,66,26,4.07,MG,1729790301
334,magong,23.5654,119.5863,24.38,87,100,20.02,TW,1729790301
335,ingeniero jacobacci,-41.3427,-69.5448,17.28,25,67,13.24,AR,1729790301
336,sebastopol,44.6,33.5333,12.22,51,86,1.34,UA,1729790302
337,sao felix do xingu,-6.6447,-51.995,40.45,19,77,1.22,BR,1729790302
338,nouadhibou,20.931,-17.0347,30.99,30,31,3.6,MR,1729790302
339,mongo,12.1844,18.693,32.3,26,66,1.38,TD,1729790302
340,tromso,69.6496,18.957,7.01,81,100,7.2,NO,1729790302
341,wenchang,30.904,118.4887,12.88,88,23,3.75,CN,1729790302
342,necochea,-38.5473,-58.7368,22.03,46,97,4.45,AR,1729790302
343,birni n konni,13.7956,5.2553,35.14,13,44,3.49,NE,1729790302
344,mount pearl,47.5166,-52.7813,17.19,93,100,5.66,CA,1729790302
345,dhuusamarreeb,5.535,46.3861,31.57,46,100,4.87,SO,1729790041
346,college station,30.628,-96.3344,26.64,72,0,0.89,US,1729790196
347,paramonga,-10.6667,-77.8333,20.48,77,43,4.78,PE,1729790303
348,constantia,44.1833,28.65,9.38,56,100,3.67,RO,1729790303
349,beitbridge,-22.2167,30.0,25.49,56,6,5.68,ZW,1729790303
350,ciudad bolivar,8.1222,-63.5497,34.28,45,67,2.29,VE,1729790303
351,albacete,38.8333,-2.0,18.45,59,20,2.57,ES,1729790303
352,nizhneangarsk,55.7833,109.55,-8.8,71,2,2.07,RU,1729790303
353,howrah,22.5892,88.3103,25.0,88,100,5.14,IN,1729790303
354,liptovsky hradok,49.0396,19.7234,8.89,73,0,1.58,SK,1729790303
355,bubaque,11.2833,-15.8333,27.22,78,100,1.9,GW,1729790303
356,zhytkavichy,52.2168,27.8561,7.67,75,74,2.59,BY,1729790303
357,giyani,-23.3025,30.7187,24.8,57,12,3.02,ZA,1729790303
358,peno,56.9262,32.7426,8.77,82,97,4.51,RU,1729790303
359,soio,-6.1349,12.3689,25.37,84,91,3.45,AO,1729790303
360,hasaki,35.7333,140.8333,20.46,83,100,9.25,JP,1729790304
361,motueka,-41.1333,173.0167,17.28,97,99,1.94,NZ,1729790304
362,usol'ye,59.4268,56.6808,5.55,89,100,2.33,RU,1729790304
363,engel's,51.5,46.1167,9.15,40,83,2.68,RU,1729790304
